FIPS_Code,County,State,Adult Obesity Percentage,Infant Mortality Rate,Life Expectancy,Incarceration Rate,Incarceration_Rate_1k,HIV_Prevalence,Motor Vehicle Death Rate,Secondary Educational Attainment,GINI Index (Income Inequality),Population Density,Domestic In-Migrants 2010s,Domestic In-Migrants 2010s (norm),Domestic Net Migrants 2010s,Domestic Net Migrants 2010s (norm)
17083,Jersey County,IL,32,NA,76.39823489,302.67,3.03,0,NA,92.3,0.3975,59.34,5251,232.643657790971,340,15.0635771565283
17085,Jo Daviess County,IL,29.8,NA,80.41962536,125.35,1.25,0,NA,92.3,0.4334,35.92,4040,181.540397231958,504,22.6476139121057
17087,Johnson County,IL,27.6,NA,79.11195245,193.95,1.94,0.2,NA,82.2,0.4409,36.35,644,51.1070549956353,217,17.2208554876597
17089,Kane County,IL,29.4,5.492562155,81.59611535,208.16,2.08,0.1,6.39,84.6,0.4431,1023.14,196793,373.204552954072,9963,18.8941525414086
17091,Kankakee County,IL,31.5,9.233412068,76.64811159,391.4,3.91,0.2,19.11,88.2,0.4301,163.54,19089,171.393939393939,1054,9.4635241301908
17093,Kendall County,IL,30.4,5.775288764,81.6461061,144.96,1.45,0,11.63,92.4,0.3599,393.63,68799,566.946847960445,15925,131.231973629996
17095,Knox County,IL,29.8,7.993605116,76.81598144,309.95,3.1,0.2,NA,89.1,0.4523,70.5,6022,115.654228043558,-224,-4.30198390597092
17097,Lake County,IL,25.2,4.810443491,81.5913773,168.46,1.68,0.1,6.89,90.6,0.4847,1580.25,212358,301.13757221499,-10877,-15.4242994046961
17099,La Salle County,IL,28.3,6.309148265,77.13898567,464.77,4.65,0.1,9.2,88.6,0.4314,96.67,24042,216.125349466474,2005,18.0239300257998
17101,Lawrence County,IL,27.2,NA,76.01982805,398.6,3.99,0.1,NA,84.9,0.4263,43.08,722,43.7072462013439,-112,-6.78007143289545
17103,Lee County,IL,30.5,NA,78.67709651,263.58,2.64,0.1,NA,88.8,0.436,47.45,8499,244.681157334101,297,8.55045343313661
17105,Livingston County,IL,33.2,7.174581483,77.19258587,415.77,4.16,0.2,NA,89.9,0.4302,34.53,6877,181.436825581089,-85,-2.24256655146031
17107,Logan County,IL,30.9,NA,77.01947249,465.34,4.65,0.2,NA,88.7,0.4201,46.93,4190,140.859275196665,-136,-4.57204329993949
17109,McDonough County,IL,30.5,NA,78.04440097,198.16,1.98,0.1,NA,93.6,0.4685,51.72,2773,86.9824341279799,-508,-15.9347553324969
17111,McHenry County,IL,30.8,3.72584698,80.33614772,90.76,0.91,0.1,8.45,93.1,0.4028,509.97,98733,321.309672191433,12106,39.3969077365165
17113,McLean County,IL,30.3,7.567939457,80.25008901,489.89,4.9,0.1,6.41,95.9,0.4725,145.85,30655,176.116418956573,-3978,-22.8540569110829
17115,Macon County,IL,29.3,8.309053631,77.50466307,976.78,9.77,0.2,14.42,90.4,0.4746,181.76,11073,102.196585140748,-2286,-21.0982925703738
17117,Macoupin County,IL,28.8,9.120521173,77.00931336,216.43,2.16,0.1,NA,91.3,0.4203,52.68,11153,240.092136137601,237,5.10193098400534
17119,Madison County,IL,35.6,5.793309662,76.96753045,363.82,3.64,0.1,14.45,92.5,0.4416,370.05,53087,199.155912364946,-133,-0.498949579831933
17121,Marion County,IL,28.6,5.904930617,74.0207555,638,6.38,0.1,NA,89,0.4314,65.92,5569,144.38308573799,-430,-11.1482720178372
17123,Marshall County,IL,30,NA,76.80424243,183.96,1.84,0.1,NA,92.9,0.4162,30.19,1138,94.7228233727318,28,2.33061428333611
17125,Mason County,IL,30.9,NA,76.67843258,616.93,6.17,0.1,NA,89.2,0.4294,25.25,1180,84.904302777378,10,0.719527989638797
17127,Massac County,IL,28.7,NA,73.80126698,460.92,4.61,NA,NA,86.8,0.4097,59.93,491,32.9419657832942,-167,-11.2042938611204
17129,Menard County,IL,29.6,NA,79.06749371,231.91,2.32,0.1,NA,94.1,0.4,39.14,1090,86.714399363564,69,5.48926014319809
17131,Mercer County,IL,31.1,NA,78.79403369,276.73,2.77,0.1,NA,91.9,0.3801,27.78,1558,97.7108811539668,286,17.9366572593289
17133,Monroe County,IL,32.8,NA,82.01989247,50.68,0.51,0,NA,96,0.4253,88.67,9472,280.8848822727,1836,54.4451693256628
17135,Montgomery County,IL,30.2,NA,78.1115803,611.25,6.11,0.1,NA,87.7,0.4378,40.96,4581,156.033924861201,-65,-2.21397186552676
17137,Morgan County,IL,28.8,NA,78.0435839,317.26,3.17,0.1,NA,90.9,0.4234,60.19,3362,96.2523977210914,-721,-20.6418735148444
17139,Moultrie County,IL,27.9,NA,77.88825463,244.07,2.44,NA,NA,84.7,0.392,43.58,1339,90.2473545865067,27,1.81977488710656
17141,Ogle County,IL,34.2,6.012571741,79.05592655,204.05,2.04,0.1,NA,90.2,0.4052,67.26,13571,260.554862244408,1159,22.2520879331861
17143,Peoria County,IL,32.6,8.474112952,77.52035859,628.16,6.28,0.2,8.37,90.9,0.4842,295.4,39882,212.909528665005,-7995,-42.6812015865983
17145,Perry County,IL,31.2,NA,77.62705938,181.06,1.81,0.2,NA,83.3,0.459,48.1,3385,156.192321889996,-412,-19.0107050572167
17147,Piatt County,IL,29.8,NA,79.53200799,127.99,1.28,0,NA,93.9,0.3865,37.34,1891,115.087334915708,439,26.7177895441543
17149,Pike County,IL,30.3,NA,77.02405912,413.66,4.14,NA,NA,88.7,0.4368,18.85,303,18.9114966920484,-58,-3.62002246910498
17151,Pope County,IL,28.6,NA,79.62316131,549.07,5.49,NA,NA,86,0.4328,11.39,55,12.8624883068288,22,5.14499532273152
17153,Pulaski County,IL,28.8,NA,76.34340622,241.63,2.42,0.3,NA,88.8,0.4972,27.64,94,16.1650902837489,94,16.1650902837489
17155,Putnam County,IL,27.9,NA,78.2235725,274.35,2.74,0,NA,92.7,0.3998,35.73,535,92.0192638458892,106,18.2318541451668
17157,Randolph County,IL,28.4,NA,77.58814647,220.26,2.2,0.1,NA,84.3,0.4295,56.13,4833,147.038242721105,-271,-8.24485077124342
17159,Richland County,IL,29.2,NA,76.70962581,449.49,4.49,NA,NA,89.1,0.4302,43.79,438,27.2710292011705,73,4.54517153352842
17161,Rock Island County,IL,28.9,6.046042942,78.37515463,255.63,2.56,0.2,11.28,88.6,0.4286,336.58,25881,177.19066430239,-5603,-38.3601596571342
17163,St. Clair County,IL,33.2,8.379649423,76.76445581,362.89,3.63,0.3,10.01,91.1,0.4688,398.87,59270,223.046788269252,-7179,-27.0162458745564
17165,Saline County,IL,28.7,9.324009324,74.11454159,812.51,8.13,NA,NA,86.7,0.4692,63.14,1936,78.660815862181,-271,-11.0108889972371
17167,Sangamon County,IL,28.6,7.826573079,77.95568625,476.45,4.76,0.2,11.81,92.5,0.4589,226.73,30314,152.333954783238,-272,-1.36685477670518
17169,Schuyler County,IL,31.9,NA,76.59556053,564.74,5.65,NA,NA,89.4,0.3828,15.9,266,36.2892223738063,-19,-2.59208731241473
17171,Scott County,IL,29.5,NA,75.7766905,154.74,1.55,0,NA,93.5,0.3907,19.96,294,56.4950038431975,-8,-1.53727901614143
17173,Shelby County,IL,29.4,NA,79.75085181,339.27,3.39,0,NA,92.3,0.394,28.66,4898,222.151669085631,113,5.12518142235123
17175,Stark County,IL,29.2,NA,76.44432141,249.91,2.5,NA,NA,91.3,0.4554,18.91,295,50.7483227249269,-120,-20.6433855152245
17177,Stephenson County,IL,34.8,6.097560976,78.87638433,430.11,4.3,0.1,NA,92.5,0.4363,79.92,6931,149.262409820179,-379,-8.16194680736514
17179,Tazewell County,IL,32.7,5.362426036,78.56923997,322.1,3.22,0.1,8.35,92.7,0.4181,206.04,31222,230.069193188266,1470,10.8321604633512
17181,Union County,IL,33.1,NA,75.48361299,522.78,5.23,0.1,NA,88.4,0.437,41.04,476,27.282627385797,-15,-0.859746661317132
17183,Vermilion County,IL,35.3,10.47925108,74.80746638,542.7,5.43,0.2,21.12,88.5,0.4506,86.34,7830,98.208910295003,-1094,-13.7216536223159
17185,Wabash County,IL,31.7,NA,79.12478303,448.28,4.48,0.1,NA,90.6,0.434,51.7,280,24.2445233353537,-184,-15.932115334661
17187,Warren County,IL,28.3,NA,79.23140949,203.17,2.03,NA,NA,86.7,0.412,31.61,902,50.4643616426094,-214,-11.972697773302
17189,Washington County,IL,29.4,NA,78.30256046,152.87,1.53,0,NA,92.2,0.3973,24.99,1028,71.7025877101207,-247,-17.2281509381321
17191,Wayne County,IL,28.8,NA,77.73934788,247.09,2.47,0.1,NA,87.9,0.4049,22.98,561,33.9116242519495,103,6.22619839206915
17193,White County,IL,28.8,NA,75.11066842,721.95,7.22,NA,NA,89.9,0.4205,28.02,499,34.7154584666759,14,0.973980798664255
17195,Whiteside County,IL,33,NA,78.28026877,417.4,4.17,NA,NA,90.6,0.4345,81.88,8720,153.315985653,-333,-5.85484211266615
17197,Will County,IL,31.4,5.264954808,79.88015844,222.51,2.23,0.1,7.09,91,0.4068,824.67,244625,356.89848107508,13569,19.7966499323771
17199,Williamson County,IL,27.6,7.744616547,76.82065696,277.41,2.77,0.1,NA,92.3,0.4509,159.69,13834,206.452960840497,1904,28.414517669532
17201,Winnebago County,IL,34.4,6.766495836,76.80637698,553.37,5.53,0.1,12.74,87.7,0.4489,555.03,52498,181.942316889742,-3175,-11.0035973965662
17203,Woodford County,IL,28.1,NA,79.82097324,299.53,3,0.1,NA,94.8,0.4386,73.33,11293,288.182305356368,2122,54.1506111720724
18001,Adams County,IN,33.3,7.574118156,79.01294854,466.27,4.66,0,NA,84.7,0.4228,104.38,4672,134.287603115748,-467,-13.4230116984278
18003,Allen County,IN,31.6,7.411848057,77.33731736,452.46,4.52,0.2,9.75,89.4,0.4458,566.81,65191,178.15740138501,-74,-0.202231100957045
18005,Bartholomew County,IN,29.8,9.251810137,77.86986388,381.72,3.82,0.1,14.32,90.6,0.4298,202.68,19482,242.866225363701,-253,-3.15394492439259
18007,Benton County,IN,32.7,NA,79.37966292,218.64,2.19,0.1,NA,89.9,0.4039,21.35,734,84.367816091954,22,2.52873563218391
18009,Blackford County,IN,35.8,NA,74.52319936,596.55,5.97,0.2,NA,89.4,0.4259,72.77,1026,82.7352632852189,-106,-8.54769776630917
18011,Boone County,IN,29.3,4.501125281,78.5754916,252.27,2.52,0.1,NA,93.7,0.4894,154.98,26368,425.874182346766,7351,118.727287410159
18013,Brown County,IN,29.9,NA,77.80852989,200.07,2,0.1,NA,92.1,0.4588,48.28,2212,147.841197700842,303,20.2513033016976
18015,Carroll County,IN,30.7,NA,79.45739399,362.14,3.62,0.1,NA,88.4,0.4112,53.93,7316,367.213773026151,482,24.1931436028711
18017,Cass County,IN,35.1,9.085580305,76.30105963,490.63,4.91,0.1,NA,85.4,0.42,91.91,7814,203.288412508455,-1123,-29.2158801186326
18019,Clark County,IN,37.4,8.095605243,74.54763193,227.29,2.27,0.2,10.99,89.4,0.4229,312.49,42725,373.921338677776,4639,40.5996744324447
18021,Clay County,IN,35.8,NA,75.3479373,261.46,2.61,0.1,NA,91.4,0.3774,73.36,7328,275.882840147579,399,15.0214592274678
18023,Clinton County,IN,36.2,7.280785059,75.81850196,549.71,5.5,0.1,NA,85.7,0.3786,79.67,7317,223.242616548694,-677,-20.6553575787161
18025,Crawford County,IN,34.4,NA,75.61202,341.01,3.41,0.1,NA,80.4,0.4557,34.58,964,90.4739558892539,34,3.19099014547161
18027,Daviess County,IN,35.1,7.013757756,76.78850895,286.49,2.86,0.1,NA,73.8,0.4224,77.11,3524,107.672095083871,-587,-17.935164532983
18029,Dearborn County,IN,36.4,NA,76.67866737,972.64,9.73,0,20.22,89.6,0.4032,162.18,14275,288.348887003596,1401,28.299600048479
18031,Decatur County,IN,33.2,NA,77.35056615,508.81,5.09,0.1,NA,90.9,0.385,71.29,6634,250.113105112351,-32,-1.20645453174483
18033,De Kalb County,IN,31.4,NA,77.77277555,339.14,3.39,0,NA,90.2,0.4258,118.31,13133,309.864804284737,1151,27.1571148809664
18035,Delaware County,IN,33.3,8.538133149,75.47712274,365.4,3.65,0.1,12.27,89.7,0.4811,293.34,18645,159.258246920751,-3117,-26.6241864120129
